Question,Answer,Page Contents,Metadata
How can one gain better control over my emotions?,"The provided text does not contain any information regarding gaining control over emotions, so I am unable to answer this question from the given context.","[""I squirm to avoid it.But if there weren't something real there, why would I squirm?The fact is, once you have kids, you're probably going to caremore about them than you do about yourself. And attention is azero-sum game. Only one idea at a time can be the top idea inyour mind. Once you have kids, it will often be your kids, and thatmeans it will less often be some project you're working on.I have some hacks for sailing close to this wind. For example,when I write essays, I think about what I'd want my kids to know.That drives me to get things right. And when I was writing Bel, Itold my kids that once I finished it I'd take them to Africa. Whenyou say that sort of thing to a little kid, they treat it as a promise.Which meant I had to finish or I'd be taking away their trip toAfrica."", ""Obviously you don't have to be working at the exact momentyou have the idea, but you'll probably have been working fairlyrecently.[16] Some say psychoactive drugs have a similar effect. I'mskeptical, but also almost totally ignorant of their effects.[17] For example you might give the nth most important topic(m-1)/m^n of your attention, for some m > 1. You couldn'tallocate your attention so precisely, of course, but this at leastgives an idea of a reasonable distribution.[18] The principles defining a religion have to be mistaken.Otherwise anyone might adopt them, and there would be nothingto distinguish the adherents of the religion from everyone else.[19] It might be a good exercise to try writing down a list ofquestions you wondered about in your youth. You might findyou're now in a position to do something about some of them.[20]"", 'But I didn\'t feel it at all.""Better you than me,"" I was thinking.Now when people have babies I congratulate thementhusiastically and I mean it. Especially the first one. I feel likethey just got the best gift in the world.What changed, of course, is that I had kids. Something I dreadedturned out to be wonderful.Partly, and I won\'t deny it, this is because of serious chemicalchanges that happened almost instantly when our first child wasborn. It was like someone flipped a switch. I suddenly feltprotective not just toward our child, but toward all children. As Iwas driving my wife and new son home from the hospital, Iapproached a crosswalk full of pedestrians, and I found myselfthinking ""I have to be really careful of all these people. Every oneof them is someone\'s child!""So to some extent you can\'t trust me when I say having kids isgreat.', ""Both can work, but both have drawbacks: in the firstapproach your work is compromised by default, and in the secondyou have to fight to get time to do it.[10] If you set your life up right, it will deliver the focus-relaxcycle automatically. The perfect setup is an office you work in andthat you walk to and from.[11] There may be some very unworldly people who do greatwork without consciously trying to. If you want to expand thisrule to cover that case, it becomes: Don't try to be anythingexcept the best.[12] This gets more complicated in work like acting, where thegoal is to adopt a fake persona. But even here it's possible to beaffected. Perhaps the rule in such fields should be to avoidunintentional affectation.""]","['Having KidsHow to Do Great Work-Paul-Graham.pdf, p.2', 'How to Do Great Work-Paul-Graham.pdf, p.25', 'Having KidsHow to Do Great Work-Paul-Graham.pdf, p.0', 'How to Do Great Work-Paul-Graham.pdf, p.24']"
How can I increase my productivity?,"**Increase Productivity Through Saying No:**

**1. Recognize Opportunity Cost:**
- As you progress in your career, your time becomes more valuable.
- Continuously increase your threshold for saying yes to opportunities that do not align with your goals.


**2. Prioritize Time Guarding:**
- Implement the strategy of asking, ""If I had to do this today, would I agree to it?""
- This rule helps prioritize commitments that truly align with your goals.


**3. Apply the ""Hell Yeah or No"" Method:**
- Respond instantly with ""Hell Yeah!"" if an opportunity is highly exciting.
- Otherwise, politely decline with a simple ""No.""


**4. Minimize Unnecessary Obligations:**
- Question the necessity of many tasks and commitments.
- Many of them are not essential and a simple ""no"" can boost productivity.


**5. Consider Future Consequences:**
- Remember that future commitments will eventually become immediate problems.
- Use this as a guide when evaluating potential opportunities.


**6. Practice Self-Awareness:**
- Identify your triggers for saying yes, even when you know it's not a good use of your time.
- Develop strategies to overcome these triggers.


**7. Seek Clarity and Alignment:**
- Ensure that the opportunities you accept are clearly aligned with your values, goals, and aspirations.
- When in doubt, it's better to say no than to commit to something that doesn't serve you.","['2024-04-11 14:35The Ultimate Productivity Hack is Saying No - James Clear Sidan 9 av 14https://jamesclear.com/saying-noUpgrading Your NoOver time, as you continue toimprove and succeed, yourstrategy needs to change.!e opportunity cost of yourtime increases as you becomemore successful. At #rst, youjust eliminate the obviousdistractions and explore therest. As your skills improve andyou learn to separate whatworks from what doesn’t, youhave to continually increaseyour threshold for saying yes.Y ou still need to say no todistractions, but you also needto learn to say no toopportunities that werepreviously good uses of time,so you can make space for greatuses of time. It’s a goodproblem to have, but it can be atough skill to master.In other words, you have to', '2024-04-11 14:35The Ultimate Productivity Hack is Saying No - James Clear Sidan 7 av 14https://jamesclear.com/saying-nonet provided by power, money,and authority. But it is also truethat saying no is not merely aprivilege reserved for thesuccessful among us. It is also astrategy that can help youbecome successful.Saying no is an important skillto develop at any stage of yourcareer because it retains themost important asset in life:your time. As the investorPedro Sorrentino put it, “If youdon’t guard your time, peoplewill steal it from you. ”Y ou need to say no to whateverisn’t leading you toward yourgoals. Y ou need to say no todistractions. As one reader toldme, “If you broaden thede#nition as to how you applyno, it actually is the onlyproductivity hack (as youultimately say no to anydistraction in order to beproductive). ”', '2024-04-11 14:35The Ultimate Productivity Hack is Saying No - James Clear Sidan 11 av 14https://jamesclear.com/saying-noyou may #nd the followingstrategy proposed by TimHarford, the British economistI mentioned earlier, to behelpful. He writes, “One trick isto ask, “If I had to do thistoday, would I agree to it?” It’snot a bad rule of thumb, sinceany future commitment, nomatter how far away it mightbe, will eventually become animminent problem. ”If an opportunity is excitingenough to drop whateveryou’re doing right now, then it’sa yes. If it’s not, then perhapsyou should think twice.!is is similar to the well-known “Hell Y eah or No”method from Derek Sivers. Ifsomeone asks you to dosomething and your #rstreaction is “Hell Y eah!” , then doit. If it doesn’t excite you, thensay no.It’s impossible to remember to', '2024-04-11 14:35The Ultimate Productivity Hack is Saying No - James Clear Sidan 3 av 14https://jamesclear.com/saying-noobligations even though wewere the ones who said yes tothem in the #rst place.It’s worth asking if things arenecessary. Many of them arenot, and a simple “no” will bemore productive than whateverwork the most e$cient personcan muster.But if the bene#ts of saying noare so obvious, then why do wesay yes so o""en?Why We Say YesWe agree to many requests notbecause we want to do them,but because we don’t want to beseen as rude, arrogant, orunhelpful. O""en, you have toconsider saying no to someoneyou will interact with again inthe future—your co-worker,your spouse, your family andfriends.']","['The Ultimate Productivity Hack is Saying No - James Clear.pdf, p.7', 'The Ultimate Productivity Hack is Saying No - James Clear.pdf, p.5', 'The Ultimate Productivity Hack is Saying No - James Clear.pdf, p.9', 'The Ultimate Productivity Hack is Saying No - James Clear.pdf, p.1']"
How can I enhance my focus?,"**Based on the provided text, there are several suggestions for enhancing your focus:**

**1. Pay Attention and Measure:**

* Practice tracking your activities in various aspects of your life (e.g., work, exercise, practice).
* This allows you to identify what consumes your energy and attention.


**2. Minimize Distractions:**

* Ensure your workspace is conducive to focus by utilizing an office you can easily walk to and from.
* This eliminates the need for commuting and associated distractions.


**3. Practice Precision in Attention Allocation:**

* Imagine allocating your attention in increasingly precise increments (e.g., nth most important topic receiving m-1/m^n of your attention).
* While perfect precision is unlikely, this mental exercise helps establish a reasonable focus distribution.


**4. Embrace Curiosity and Exploration:**

* Reflect on unanswered questions from your youth.
* This can lead to newfound avenues of exploration and focus.


**5. Embrace the Focus-Relax Cycle:**

* Create a life setup that naturally fosters the desired focus-relax balance.
* This could include a well-defined workspace and a consistent commute.


**6. Set High Standards:**

* Aim to become the best in your chosen field.
* This motivation encourages sustained focus and determination.


**7. Avoid Unintentional Affectation:**

* In fields like acting, consciously avoid unintended affectation to maintain authenticity.","['2024-04-11 14:35Getting to Simple: How Experts Figure What to Focus On Sidan 2 av 15https://jamesclear.com/getting-simplePeak performanceexperts say thingslike, “Y ou should focus.Y ou need to eliminate thedistractions. Commit toone thing and becomegreat at that thing. ”!is is good advice. !emore I study successfulpeople from all walks oflife—artists, athletes,entrepreneurs, scientists—the more I believe focusis a core factor of success.But there is a problemwith this advice too.Of the many options infront of you, how do youknow what to focus on?How do you know whereto direct your energy andattention? How do youdetermine the one thingthat you should committo doing?', '2024-04-11 14:35Getting to Simple: How Experts Figure What to Focus On Sidan 6 av 15https://jamesclear.com/getting-simpleMake a Call AboutWhat to Focus OnAssuming you’re willingto try things andexperiment a bit, the nextquestion is, “How do Iknow what’s comingeasily to me?”!e best answer I can giveis to pay attention.Usually, this meansmeasuring something.If you’re anentrepreneur, trackyour marketing andpromotion e#orts.If you’re trying to gainmuscle, track yourworkouts.If you’re learning aninstrument, trackyour practice', ""Obviously you don't have to be working at the exact momentyou have the idea, but you'll probably have been working fairlyrecently.[16] Some say psychoactive drugs have a similar effect. I'mskeptical, but also almost totally ignorant of their effects.[17] For example you might give the nth most important topic(m-1)/m^n of your attention, for some m > 1. You couldn'tallocate your attention so precisely, of course, but this at leastgives an idea of a reasonable distribution.[18] The principles defining a religion have to be mistaken.Otherwise anyone might adopt them, and there would be nothingto distinguish the adherents of the religion from everyone else.[19] It might be a good exercise to try writing down a list ofquestions you wondered about in your youth. You might findyou're now in a position to do something about some of them.[20]"", ""Both can work, but both have drawbacks: in the firstapproach your work is compromised by default, and in the secondyou have to fight to get time to do it.[10] If you set your life up right, it will deliver the focus-relaxcycle automatically. The perfect setup is an office you work in andthat you walk to and from.[11] There may be some very unworldly people who do greatwork without consciously trying to. If you want to expand thisrule to cover that case, it becomes: Don't try to be anythingexcept the best.[12] This gets more complicated in work like acting, where thegoal is to adopt a fake persona. But even here it's possible to beaffected. Perhaps the rule in such fields should be to avoidunintentional affectation.""]","['How Experts Figure What to Focus On-James-Clear.pdf, p.0', 'How Experts Figure What to Focus On-James-Clear.pdf, p.4', 'How to Do Great Work-Paul-Graham.pdf, p.25', 'How to Do Great Work-Paul-Graham.pdf, p.24']"
Why is continuous learning important for personal development?,"The provided text does not contain any information regarding the importance of continuous learning for personal development, so I am unable to extract the requested data from the given context.","[""Great work happens by focusingconsistently on something you're genuinely interested in. Whenyou pause to take stock, you're surprised how far you've come.The reason we're surprised is that we underestimate thecumulative effect of work. Writing a page a day doesn't sound likemuch, but if you do it every day you'll write a book a year. That'sthe key: consistency. People who do great things don't get a lotdone every day. They get something done, rather than nothing.If you do work that compounds, you'll get exponential growth.Most people who do this do it unconsciously, but it's worthstopping to think about. Learning, for example, is an instance ofthis phenomenon: the more you learn about something, theeasier it is to learn more."", ""Learning, for example, is an instance ofthis phenomenon: the more you learn about something, theeasier it is to learn more. Growing an audience is another: themore fans you have, the more new fans they'll bring you.The trouble with exponential growth is that the curve feels flat inthe beginning. It isn't; it's still a wonderful exponential curve. Butwe can't grasp that intuitively, so we underrate exponentialgrowth in its early stages.Something that grows exponentially can become so valuable thatit's worth making an extraordinary effort to get it started. Butsince we underrate exponential growth early on, this too is mostly"", ""You don't have to tellanyone. And if it's too hard and you fail, so what? Lots of peoplehave worse problems than that. In fact you'll be lucky if it's theworst problem you have.Yes, you'll have to work hard. But again, lots of people have towork hard. And if you're working on something you find veryinteresting, which you necessarily will if you're on the right path,the work will probably feel less burdensome than a lot of yourpeers'.The discoveries are out there, waiting to be made. Why not byyou?"", 'It may be helpful always to walk or run the same route,because that frees attention for thinking. It feels that way to me,and there is some historical evidence for it.Thanks to Trevor Blackwell, Daniel Gackle, Pam Graham, TomHoward, Patrick Hsu, Steve Huffman, Jessica Livingston, HenryLloyd-Baker, Bob Metcalfe, Ben Miller, Robert Morris, MichaelNielsen, Courtenay Pipkin, Joris Poort, Mieke Roos, Rajat Suri,Harj Taggar, Garry Tan, and my younger son for suggestions andfor reading drafts.']","['How to Do Great Work-Paul-Graham.pdf, p.5', 'How to Do Great Work-Paul-Graham.pdf, p.5', 'How to Do Great Work-Paul-Graham.pdf, p.23', 'How to Do Great Work-Paul-Graham.pdf, p.26']"
How can one overcome the fear of failure?,"The text suggests two ways to overcome the fear of failure:

**1. Reframe your perspective on setbacks:**

- Explicitly consider setbacks as part of the process of solving hard problems.
- View backtracking as an essential part of the ""depth-first search"" approach to great work.
- Avoid allowing setbacks to completely derail your morale.

**2. Manage your workload strategically:**

- Switch to easier work when stuck to regain a sense of accomplishment.
- Avoid allowing large setbacks to deter you from continuing your work.
- Maintain focus on the overall root node (your original desire) despite temporary setbacks.

The text emphasizes that tackling challenging problems will naturally involve some setbacks, but these should not be seen as ultimate failures. The key is to learn from these experiences, adjust your approach, and continue moving forward.","[""But in questions that really matter, only rule-breakerscan be truly strict.An overlooked idea often doesn't lose till the semifinals. You dosee it, subconsciously, but then another part of your subconsciousshoots it down because it would be too weird, too risky, too muchwork, too controversial. This suggests an exciting possibility: ifyou could turn off such filters, you could see more new ideas.One way to do that is to ask what would be good ideas forsomeone else to explore. Then your subconscious won't shootthem down to protect you.You could also discover overlooked ideas by working in the otherdirection: by starting from what's obscuring them. Everycherished but mistaken principle is surrounded by a dead zone ofvaluable ideas that are unexplored because they contradict it.Religions are collections of cherished but mistaken principles."", ""You don't have to tellanyone. And if it's too hard and you fail, so what? Lots of peoplehave worse problems than that. In fact you'll be lucky if it's theworst problem you have.Yes, you'll have to work hard. But again, lots of people have towork hard. And if you're working on something you find veryinteresting, which you necessarily will if you're on the right path,the work will probably feel less burdensome than a lot of yourpeers'.The discoveries are out there, waiting to be made. Why not byyou?"", 'But this cycle also operates in the other direction: if you\'renot doing good work, that can demoralize you and make it evenharder to. Since it matters so much for this cycle to be running inthe right direction, it can be a good idea to switch to easier workwhen you\'re stuck, just so you start to get something done.One of the biggest mistakes ambitious people make is to allowsetbacks to destroy their morale all at once, like a balloonbursting. You can inoculate yourself against this by explicitlyconsidering setbacks a part of your process. Solving hardproblems always involves some backtracking.Doing great work is a depth-first search whose root node is thedesire to. So ""If at first you don\'t succeed, try, try again"" isn\'tquite right. It should be: If at first you don\'t succeed, either tryagain, or backtrack and then try again.""Never', 'So ""If at first you don\'t succeed, try, try again"" isn\'tquite right. It should be: If at first you don\'t succeed, either tryagain, or backtrack and then try again.""Never give up"" is also not quite right. Obviously there are timeswhen it\'s the right choice to eject. A more precise version wouldbe: Never let setbacks panic you into backtracking more than youneed to. Corollary: Never abandon the root node.It\'s not necessarily a bad sign if work is a struggle, any more thanit\'s a bad sign to be out of breath while running. It depends how']","['How to Do Great Work-Paul-Graham.pdf, p.12', 'How to Do Great Work-Paul-Graham.pdf, p.23', 'How to Do Great Work-Paul-Graham.pdf, p.20', 'How to Do Great Work-Paul-Graham.pdf, p.20']"
What routines can I do to improve my mental health?,"The provided text does not contain any information regarding routines that can improve mental health, so I am unable to extract the requested data from the given context.","['2024-04-11 14:3930 One-Sentence Stories From People Who Have Built Better Habits - James Clear Sidan 24 av 27https://jamesclear.com/one-sentence-habits!e easiest way to starttracking your habits is touse the templatesprovided in the HabitJournal. It will make thewhole process a breeze.My favorite approach is topick a very tiny version ofyour habit and track that.For example, I have beentracking the habit of“reading 1 page” for thelast month. One readernamed Günter didsomething similar. “I’vedone a simple workoutevery day for over half ayear now. I managed tostick to it by changing thescope: when I don’t havetime for a full set or don’tfeel like it, instead ofskipping altogether, I doan abbreviated session. Ialso mark it in mycalendar. ”', '2024-04-11 14:3930 One-Sentence Stories From People Who Have Built Better Habits - James Clear Sidan 3 av 27https://jamesclear.com/one-sentence-habitsthey will spark some ideasfor how you can do thesame.I have divided the storiesinto categories thatroughly correspond todi""erent sections or ideasin the book.Identity-basedhabitsOne of the central ideasin the book is the conceptof building “identity-based habits”, whichessentially recommendsfocusing on the type ofperson you wish tobecome rather than theoutcome you wish toachieve.One reader namedRoland used the idea to', '2024-04-11 14:3930 One-Sentence Stories From People Who Have Built Better Habits - James Clear Sidan 15 av 27https://jamesclear.com/one-sentence-habitsthe number of stepsbetween her and thelaundry basket. “I quitleaving my socks all overthe %oor by putting a littlebasket beside the door tocollect them in. ”Similar strategies can beparticularly useful forbuilding new exercisehabits.One reader named Justinsent me the followingmessage: “I started goingto a gym that was lessthan a mile from myhouse. !is took away thetime and inconvenienceexcuses. I was neverconsistent at exercise, butnow I work out 8-10x aweek. Cross$t, running,and cycling. I’ve beengoing strong for 2.5years. ”', '2024-04-11 14:3930 One-Sentence Stories From People Who Have Built Better Habits - James Clear Sidan 14 av 27https://jamesclear.com/one-sentence-habitsand logging in manuallywas enough barrier forme to not get back on. ”And Rahul did somethingsimilar to kill his videogame habit. “For gamingaddiction, I removed mygraphic card, ” he wrote.“For excessive net sur$ngon mobile, I uninstalledapps and removed theChrome browser. ”EnvironmentDesign, Part IIIOn the %ip side, you canfoster good habits byreducing the friction inyour environment.Natalie started picking upher cluttered clothes andbuilding better cleaninghabits simply by reducing']","['30 One-Sentence Stories From People Who Have Built Better Habits - James Clear.pdf, p.22', '30 One-Sentence Stories From People Who Have Built Better Habits - James Clear.pdf, p.1', '30 One-Sentence Stories From People Who Have Built Better Habits - James Clear.pdf, p.13', '30 One-Sentence Stories From People Who Have Built Better Habits - James Clear.pdf, p.12']"
What are the key factors in building successful business partnerships?,"The provided text does not contain any information regarding key factors in building successful business partnerships, so I am unable to answer this question from the given context.","['2024-04-11 14:35Getting to Simple: How Experts Figure What to Focus On Sidan 7 av 15https://jamesclear.com/getting-simpleEven when you domeasure things, however,there comes a pointwhere you have to make acall and decide what tofocus on.In my mind, this momentof decision is one of thecentral tensions ofentrepreneurship. Do wecontinue trying newthings or do we doubledown on one strategy? Dowe try to innovate or dowe commit to doing onething well?Everyone wants to knowthe right time to simplifyand focus on one thing,but nobody does. !at’swhat makes success sohard. Entrepreneurshipisn’t like baking a cake.!ere is no recipe. !eresessions.', ""If you made it thisfar, you must be interested in doing great work. And if so you'realready further along than you might realize, because the set ofpeople willing to want to is small.The factors in doing great work are factors in the literal,mathematical sense, and they are: ability, interest, effort, andluck. Luck by definition you can't do anything about, so we canignore that. And we can assume effort, if you do in fact want todo great work. So the problem boils down to ability and interest.Can you find a kind of work where your ability and interest willcombine to yield an explosion of new ideas?Here there are grounds for optimism. There are so many differentways to do great work, and even more that are still undiscovered.Out of all those different types of work, the one you're mostsuited for is probably a pretty close match."", ""Some departments havepeople doing great work; others have in the past; others neverhave.Seek out the best colleagues. There are a lot of projects thatcan't be done alone, and even if you're working on one that canbe, it's good to have other people to encourage you and tobounce ideas off.Colleagues don't just affect your work, though; they also affectyou. So work with people you want to become like, because youwill.Quality is more important than quantity in colleagues. It's betterto have one or two great ones than a building full of pretty goodones. In fact it's not merely better, but necessary, judging fromhistory: the degree to which great work happens in clusterssuggests that one's colleagues often make the difference betweendoing great work and not.How do you know when you have sufficiently good colleagues?"", ""Being married to heris like standing next to an airport baggage scanner. She came tothe startup world from investment banking, and she has alwaysbeen struck both by how consistently successful startup foundersturn out to be good people, and how consistently bad people failas startup founders.Why? I think there are several reasons. One is that being meanmakes you stupid. That's why I hate fights. You never do yourbest work in a fight, because fights are not sufficiently general.Winning is always a function of the situation and the peopleinvolved. You don't win fights by thinking of big ideas but bythinking of tricks that work in one particular case.""]","['How Experts Figure What to Focus On-James-Clear.pdf, p.5', 'How to Do Great Work-Paul-Graham.pdf, p.22', 'How to Do Great Work-Paul-Graham.pdf, p.19', 'Mean People Fail-Paul-Graham.pdf, p.0']"
How do you identify the right business partner for a startup?,"The provided text does not contain any information regarding identifying the right business partner for a startup, so I am unable to answer this question from the given context.","['Looking at your actions, and knowing you, I’d say that you don’treally want to start another company. You actually prefer the simple life you -00:00', ""Being married to heris like standing next to an airport baggage scanner. She came tothe startup world from investment banking, and she has alwaysbeen struck both by how consistently successful startup foundersturn out to be good people, and how consistently bad people failas startup founders.Why? I think there are several reasons. One is that being meanmakes you stupid. That's why I hate fights. You never do yourbest work in a fight, because fights are not sufficiently general.Winning is always a function of the situation and the peopleinvolved. You don't win fights by thinking of big ideas but bythinking of tricks that work in one particular case."", ""You don't win fights by thinking of big ideas but bythinking of tricks that work in one particular case. And yetfighting is just as much work as thinking about real problems.Which is particularly painful to someone who cares how theirbrain is used: your brain goes fast but you get nowhere, like a carspinning its wheels.Startups don't win by attacking. They win by transcending. Thereare exceptions of course, but usually the way to win is to raceahead, not to stop and fight.Another reason mean founders lose is that they can't get the bestpeople to work for them. They can hire people who will put up"", ""The ones driven by money take the big acquisition offerthat nearly every successful startup gets en route. [1] The oneswho keep going are driven by something else. They may not sayso explicitly, but they're usually trying to improve the world.Which means people with a desire to improve the world have anatural advantage. [2]The exciting thing is that startups are not just one random type ofwork in which meanness and success are inversely correlated.This kind of work is the future.For most of history success meant control of scarce resources.One got that by fighting, whether literally in the case of pastoralnomads driving hunter-gatherers into marginal lands, ormetaphorically in the case of Gilded Age financiers contendingwith one another to assemble railroad monopolies. For most ofhistory, success meant success at zero-sum games.""]","['Actions, not words, reveal our real values | Derek Sivers.pdf, p.0', 'Mean People Fail-Paul-Graham.pdf, p.0', 'Mean People Fail-Paul-Graham.pdf, p.0', 'Mean People Fail-Paul-Graham.pdf, p.1']"
How do I get happier?,"The provided text does not contain any information regarding how to get happier, so I am unable to answer this question from the given context.","[""So you need to make yourself a bigtarget for luck, and the way to do that is to be curious. Try lots ofthings, meet lots of people, read lots of books, ask lots ofquestions. [5]When in doubt, optimize for interestingness. Fields change as youlearn more about them. What mathematicians do, for example, isvery different from what you do in high school math classes. Soyou need to give different types of work a chance to show youwhat they're like. But a field should become increasinglyinteresting as you learn more about it. If it doesn't, it's probablynot for you.Don't worry if you find you're interested in different things thanother people. The stranger your tastes in interestingness, thebetter. Strange tastes are often strong ones, and a strong tastefor work means you'll be productive."", ""If you have something real to say, being mean justgets in the way.If moving up the disagreement hierarchy makes people lessmean, that will make most of them happier. Most people don'treally enjoy being mean; they do it because they can't help it.Thanks to Trevor Blackwell and Jessica Livingston for readingdrafts of this."", ""Ifyou're ambitious, you need to work; it's almost like a medicalcondition; so someone who won't let you work either doesn'tunderstand you, or does and doesn't care.Ultimately morale is physical. You think with your body, so it'simportant to take care of it. That means exercising regularly,eating and sleeping well, and avoiding the more dangerous kindsof drugs. Running and walking are particularly good forms ofexercise because they're good for thinking. [29]People who do great work are not necessarily happier thaneveryone else, but they're happier than they'd be if they didn't. Infact, if you're smart and ambitious, it's dangerous not to beproductive. People who are smart and ambitious but don't achievemuch tend to become bitter.It's ok to want to impress other people, but choose the rightpeople."", '2024-04-11 15:52How to get rich | Derek Sivers Sidan 2 av 12https://sive.rs/d1rPursue every opportunity.Nothing is too small. Do it all.Like lottery tickets, you never know which one will win. So the more, thebetter.Follow-up and keep in touch with everyone.3. Learn the multiplyingskills.Speaking, writing, psychology, design, conversation, 2nd language,persuasion, programming, meditation/focus.Not pursued on their own, they’re skills that multiply the success of yourmain pursuit.(A pilot who’s also a great writer and public speaker.)(A chef with a mastery of psychology, persuasion, and design.)These skills multiply the results of your efforts, and give you an edge overothers in your field.4. Pursue market value notpersonal value.']","['How to Do Great Work-Paul-Graham.pdf, p.2', 'How to Disagree-Paul-Graham.pdf, p.3', 'How to Do Great Work-Paul-Graham.pdf, p.21', 'How to get rich | Derek Sivers.pdf, p.1']"
How can setting personal goals contribute to a sense of fulfillment?,"The provided text does not contain any information regarding how setting personal goals contributes to a sense of fulfillment, so I am unable to answer this question from the given context.","[""It's exciting,and also strangely liberating. It simplifies things. In some waysit's easier to try to be the best than to try merely to be good.One way to aim high is to try to make something that people willcare about in a hundred years. Not because their opinions mattermore than your contemporaries', but because something that still"", ""I squirm to avoid it.But if there weren't something real there, why would I squirm?The fact is, once you have kids, you're probably going to caremore about them than you do about yourself. And attention is azero-sum game. Only one idea at a time can be the top idea inyour mind. Once you have kids, it will often be your kids, and thatmeans it will less often be some project you're working on.I have some hacks for sailing close to this wind. For example,when I write essays, I think about what I'd want my kids to know.That drives me to get things right. And when I was writing Bel, Itold my kids that once I finished it I'd take them to Africa. Whenyou say that sort of thing to a little kid, they treat it as a promise.Which meant I had to finish or I'd be taking away their trip toAfrica."", ""Inmy experience, when you do, you know. Which means if you'reunsure, you probably don't. But it may be possible to give a moreconcrete answer than that. Here's an attempt: sufficiently goodcolleagues offer surprising insights. They can see and do things"", ""They'remore optimistic, and even though one of the sources of theiroptimism is ignorance, in this case ignorance can sometimes beatknowledge.Try to finish what you start, though, even if it turns out to bemore work than you expected. Finishing things is not just anexercise in tidiness or self-discipline. In many projects a lot of thebest work happens in what was meant to be the final stage.Another permissible lie is to exaggerate the importance of whatyou're working on, at least in your own mind. If that helps youdiscover something new, it may turn out not to have been a lieafter all. [7]""]","['How to Do Great Work-Paul-Graham.pdf, p.6', 'Having KidsHow to Do Great Work-Paul-Graham.pdf, p.2', 'How to Do Great Work-Paul-Graham.pdf, p.19', 'How to Do Great Work-Paul-Graham.pdf, p.4']"
